CRN,Ders Kodu,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Reservasyon Böl./Kont./Yaz.,Dersi Alabilen Programlar,Ders Önşartları,Başarılan Kredi/Sınıf Önşartı,bransKodu
22725,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Necati Erdem Ünal,INB,Çarşamba,09:30/12:29,A104,60,62,-,INS_LS,Detay,-,AKM
22726,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Hafzüllah Aksoy,INB,Çarşamba,09:30/12:29,B104,60,61,-,INS_LS,Detay,-,AKM
24269,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Şakir Bal,MEDC,Salı,08:30/11:29,1D7,40,20,-,GEM_LS,Detay,-,AKM
24271,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Ali Can Takinacı,MEDC,Salı,08:30/11:29,2D13,45,48,-,GEM_LS,Detay,-,AKM
22731,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Abdüsselam Altunkaynak,INB,Pazartesi,09:30/12:29,A105,60,73,-,"INS_LS, INSE_LS, NAE_LS",Detay,-,AKM
22734,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Mehmet Özger,INB,Perşembe,09:30/12:29,B103,60,80,-,"INS_LS, INSE_LS, NAE_LS",Detay,-,AKM
23241,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Zerefşan Kaymaz,MEDC,Çarşamba,08:30/11:29,ZA4,85,82,-,"IBM_LS, MTO_LS, MTOE_LS",Detay,-,AKM
24340,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Murat Çakan,MKB,Perşembe,14:30/17:29,D376,60,92,-,"TEK_LS, TEKE_LS",Detay,-,AKM
24857,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Melek Ertogan,DZB DZB,Perşembe Perşembe,08:30/10:29 18:30/19:29,-- --,60,65,-,"MEN_LS, MTM_LS",Detay,-,AKM
24988,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Veysel Şadan Özgür Kırca,MDB,Cuma,08:30/11:29,A103,80,49,-,"PET_LS, PETE_LS",Detay,-,AKM
