CRN,Ders Kodu,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Reservasyon Böl./Kont./Yaz.,Dersi Alabilen Programlar,Ders Önşartları,Başarılan Kredi/Sınıf Önşartı,bransKodu
30303,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Birgül Benli,MDB MDB,Salı Salı,08:30/11:59 14:00/17:29,A101 A101,50,45,-,"DEN_LS, GEM_LS, IBM_LS, INS_LS, MTO_LS, TEK_LS, UCK_LS",Detay,-,AKM
30386,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Necati Erdem Ünal,INB INB,Perşembe Perşembe,10:00/12:59 13:30/17:29,B303 B303,30,32,-,"CEV_LS, INS_LS",Detay,-,AKM
30387,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Necati Erdem Ünal,INB INB,Çarşamba Çarşamba,10:00/12:59 13:30/17:29,B304 B304,30,23,-,"CEV_LS, INS_LS",Detay,-,AKM
30376,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Erdal Kesgin,INB INB,Salı Salı,08:30/12:29 13:30/16:29,B103 B103,25,48,-,"INS_LS, INSE_LS, MEN_LS, NAE_LS, PET_LS, PETE_LS, TEK_LS, TEKE_LS",Detay,-,AKM
30466,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Cenk Kaya,DZB DZB,Perşembe Perşembe,08:30/12:29 13:30/16:29,-- --,45,33,-,"DUI_LS, MEN_LS, MTM_LS",Detay,-,AKM
30284,ATA 121,Atatürk İlk & İnkılap Trh I,Sanal (Çevrimiçi/Online),Çağdaş Taylan Salın,MED MED,Pazartesi Perşembe,10:30/12:59 10:30/12:59,-- --,80,116,-,"ARC_LS, BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENT_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, KON_LS, MAD_LS, MADE_LS, MAK_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTM_LS, MTO_LS, MTOE_LS, NAE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, TEL_LS, THO_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",-,-,ATA
30285,ATA 121,Atatürk İlk & İnkılap Trh I,Sanal (Çevrimiçi/Online),Çağdaş Taylan Salın,MED MED,Salı Cuma,10:30/12:59 10:30/12:59,-- --,80,110,-,"ARC_LS, BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENT_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, KON_LS, MAD_LS, MADE_LS, MAK_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTM_LS, MTO_LS, MTOE_LS, NAE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, TEL_LS, THO_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",-,-,ATA
30286,ATA 122,Atatürk İlk & İnkılap Trh II,Sanal (Çevrimiçi/Online),Çağdaş Taylan Salın,MED MED,Pazartesi Perşembe,15:00/17:29 15:00/17:29,-- --,80,120,-,"ARC_LS, BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENT_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, KON_LS, MAD_LS, MADE_LS, MAK_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTM_LS, MTO_LS, MTOE_LS, NAE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, TEL_LS, THO_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",-,-,ATA
30287,ATA 122,Atatürk İlk & İnkılap Trh II,Sanal (Çevrimiçi/Online),Çağdaş Taylan Salın,MED MED,Salı Cuma,15:00/17:29 15:00/17:29,-- --,80,115,-,"ARC_LS, BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENT_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, KON_LS, MAD_LS, MADE_LS, MAK_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTM_LS, MTO_LS, MTOE_LS, NAE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, TEL_LS, THO_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",-,-,ATA
30433,BBF 204E,Formal Languages and Automata,Fiziksel (Yüz yüze),Gökhan Seçinti,BBB BBB,Cuma Cuma,09:00/12:29 14:00/17:29,104 104,60,66,-,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",Detay,-,BBF
